FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
M11082013	M11082013	-0.0510332	-0.0330834	0.0122844	-0.0204964	-0.00898566	0.00809426	-0.023634	0.0501465	0.0168096	0.0238608
M11073017	M11073017	-0.0496967	-0.0626034	0.0160097	0.00179406	-0.0193875	0.0165499	-0.0278088	0.0118642	0.0238609	-0.00878755
M11082407	M11082407	-0.0512291	-0.033919	0.00554266	0.00747724	-0.00476942	0.00924591	0.0141556	-0.00292584	-0.0411234	0.0243723
M11073015	M11073015	-0.0502232	-0.048428	-0.000867719	0.00649103	-0.00617549	0.0201104	-0.0301846	0.00185054	0.0140466	-0.0474477
M11060903	M11060903	-0.0493112	-0.0677125	-0.0196098	-0.000825066	0.0174988	0.0373194	-0.0241226	0.037011	0.0232516	-0.0283347
M11082010	M11082010	-0.0482022	-0.0658691	0.00175644	-0.0155784	-0.0101264	0.0125864	0.0133288	-0.0326528	-0.00327959	0.00205356
M11073003	M11073003	-0.0498106	-0.0523959	-0.010178	-0.00217864	0.0283896	0.00464563	-0.00553479	-0.0172704	-0.00815658	0.00366284
M11082001	M11082001	-0.0508892	-0.0390969	0.0226347	-0.0264374	-0.0235422	0.0109096	-0.0427151	0.0144121	0.0128753	-0.0547586
M11072309	M11072309	-0.0489164	-0.0669323	-0.00717327	0.00185028	0.00607418	-0.0102335	0.0160256	0.00483115	0.024381	-0.0114525
M11081711	M11081711	-0.0482529	-0.0676063	-0.00021744	0.00920548	0.0233843	-0.0102172	0.00380164	0.00417996	-0.0508265	-0.0469038
M11060203	M11060203	-0.0507185	-0.0432128	0.0222462	0.000684262	0.00868398	-0.0170476	0.00754517	-0.0297341	0.0316729	-0.0144405
M11071302	M11071302	-0.047408	-0.0296725	-0.0102933	-0.00367404	-0.00264509	0.0178758	0.00464663	0.00517186	0.00192865	0.0104929
M11081306	M11081306	-0.0499588	-0.0380198	0.00752787	-0.00455712	0.0196726	0.00782403	-0.000981373	-0.0137692	0.00524735	-0.0282085
M11051101	M11051101	-0.0343847	0.0799287	0.00437475	0.00197703	0.00346366	-0.025807	0.137315	0.0281429	0.00185399	0.0802342
M11050404	M11050404	-0.039698	0.0979312	-0.00516522	-0.00349293	0.00686939	0.00945992	-0.0724749	-0.025876	0.0816045	-0.0173007
M11051105	M11051105	-0.0388767	0.0917802	0.00320471	-0.0146364	-0.00891501	0.0273825	0.00585635	-0.0514072	0.006709	-0.0063345
M11051901	M11051901	-0.0365404	0.100572	0.0080735	-0.00184006	0.00977508	0.0342223	-0.0703497	0.00132466	0.0747925	-0.052657
M11052507	M11052507	-0.032419	0.0700896	-0.0284577	-0.0102508	0.00657529	-0.0170897	0.0104764	0.017996	-0.0669357	-0.00371568
M11050514	M11050514	-0.028183	0.0614033	0.0283483	0.026736	0.0274797	6.75757e-05	-0.0350379	-0.0146942	-0.0241323	-0.0359027
M11060202	M11060202	-0.0380456	0.0808082	-0.0100862	0.00905465	-0.0171844	-0.0109771	0.0869543	0.0835111	-0.0338821	0.046899
M11051113	M11051113	-0.0347078	0.0655111	-0.00234096	0.00842836	-0.0124683	0.0142997	-0.00171905	0.0204323	0.0304318	-0.0290167
M11062914	M11062914	-0.0321568	0.0563084	0.00166487	-0.014773	0.0141347	-0.000613632	-0.0505772	0.00292346	0.0484934	-0.00763723
M11052505	M11052505	-0.0393278	0.0958809	-0.00217924	0.0193839	0.00218406	0.0101574	-0.0758583	-0.00272929	0.0317088	-0.0553434
M11051801	M11051801	-0.0325198	0.0501681	0.0142386	0.00887209	-0.0101992	-0.0219481	0.00297747	0.0037897	-0.000246757	0.0138306
M11050413	M11050413	-0.0237505	0.061886	-0.0142228	-0.0226953	0.0087759	0.0313081	0.0634787	-0.025532	-0.0698585	0.0180404
M11050407	M11050407	-0.0380019	0.0923096	0.0147266	0.00436951	0.00929801	0.0491663	-0.0737305	-0.0583703	0.02727	0.00839202
M11051805	M11051805	-0.0367196	0.094954	0.00403486	0.00154574	-0.0083421	-0.0127672	-0.0595679	-0.0431611	0.0270809	-0.010465
M11051907	M11051907	-0.0364941	0.0864297	-0.00113301	-0.00164325	0.00916544	-0.00890762	-0.0402162	-0.00985775	-0.0268802	-0.00844545
M11060904	M11060904	-0.039328	0.0943195	0.00146825	-0.0147939	0.00723819	0.0452184	-0.0897169	-0.0118141	0.0637862	-0.0226962
M11050411	M11050411	-0.0273287	0.0690744	0.0288234	0.0170735	-0.0382273	-0.0220871	0.038954	0.0177595	-0.0405856	0.00276965
M11050510	M11050510	-0.0327226	0.0570233	-0.0157299	0.012115	-0.0208969	-0.0315704	0.0720014	0.00926391	-0.0544736	0.023747
M11051203	M11051203	-0.0384483	0.0936099	-0.00584016	0.00957655	-0.00455223	-0.0201597	-0.0537097	0.0190475	-0.0122947	-0.0273608
M11051911	M11051911	-0.0392099	0.0902442	-0.00509195	0.00297929	0.0283331	-0.00443279	-0.0865609	-0.00798328	0.0390938	-0.028746
M11062504	M11062504	-0.03108	0.0700325	0.000146396	0.00593413	-0.0275594	-0.0205102	0.112643	0.0382917	-0.0441064	0.045506
